"","HB01","HB04","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HB48","MET1","MET2","MET3","MET4","MET5","MET6","MET7","MET8","MET9","MET10","MET11","MET12","MET13","MET14","MET15","MET16","MET17","MET18","MET19","MET20","MET21","SB1","SB4","SB8","SB12","SB16","SB20","SB24","SB28","SB32","SB36","SB39","SB42","SB45","SB49","SB52"
"Q6PJG6",14.1326564205627,13.269579801922,13.9378335553992,13.6368985385225,14.2449181817061,12.1040279836596,12.2600586737801,11.3161840959788,13.0486548187328,10.4945545868521,14.3114827371272,14.1194089815402,13.9275260400839,14.1694222322405,14.837749601075,13.8798588079041,13.2441281349009,14.2706304852067,11.3946418801313,13.5580788655479,14.3173711438043,13.2957689344205,13.1765166682758,11.2552985666181,11.7294758226708,13.4478182640888,13.400570760127,13.2964860866155,13.5185929990982,12.0626649139808,13.2410784855039,13.5576109711584,19.0356395935395,20.1596227093106,20.5730233091168,20.4375824698958,20.6611533961661,16.1427889506568,20.0034986361124,21.642328980855,20.1249113499846,16.4214063667871,15.9582498052659,12.1320859694948,19.3664395890656,20.251690866281,20.3762261869846
"Q8IWJ2",11.0067447859306,12.1676232827744,13.7234641406912,10.1245073903535,14.6974675540971,14.2450742312832,14.6263265812528,10.3273488217832,12.9785381565676,11.189717470388,11.2491786237863,13.4033603549065,11.3127701674606,12.7483659804587,12.9099074117012,11.6258618389126,10.5241484120834,12.9032544865206,5.96672777218236,12.7176474411323,13.1691394713915,11.6076521081774,9.90837048652332,5.90942582444365,6.66347598942199,10.6384672799362,8.40644885254532,9.51374113673243,11.4177464966563,6.3982715642531,7.97196010590322,11.1696615571382,20.9783357099253,21.5800157059813,23.5324739212073,24.4515933541133,25.1180212687603,24.8911918205165,22.6791002963415,25.2366098633468,23.1097229847023,23.2615722045477,22.7808036791408,22.0568303803544,21.1757474992733,23.7607930512478,22.5717407470068
"Q9Y520",13.9613910191465,13.7727272689709,14.5638188292967,12.8500915967356,14.0218330082742,12.7879537355286,13.9978793692265,11.7153580388907,14.3159475890053,11.7881925137093,12.5417542106356,14.0897108373818,14.2747969226371,13.4594401722676,14.4469750913611,14.5298497337429,13.8949623906979,14.1471204737141,11.0932862874259,14.261025847776,14.1486692743623,13.1185743170103,13.4494164172969,12.2821372779876,11.8170069465151,13.6169632366577,13.102357563433,13.0742816084136,13.5059034551162,11.7222085700596,12.588537017503,13.9828103554476,20.8317714680847,21.4272639403685,21.4179422146828,22.3168830494764,21.4412141310878,21.7431989342732,21.6725772408137,22.3204731215469,21.6399771361902,20.9975821410451,20.3061012429476,20.3687247792281,20.8139449364598,21.7088257113888,21.3003868306612
"O95210",12.7242038659191,12.9137200939759,14.2070397814684,13.0680663508741,14.1419376207165,13.9949968187496,14.7955133286132,10.8764039672487,12.8870498403339,11.2952319968165,11.7725896431837,9.30280463787791,11.7636115868911,13.6122186086532,13.1602808756008,12.3675789289375,9.09900676552788,13.3836466707547,4.41036088765933,11.4927092440199,12.75948667659,9.92004338523029,11.6168793087481,10.0678740371349,8.20905100397177,8.44057349373728,6.6820064163142,6.19895107528282,9.52098576370785,8.95412073803174,8.55381980345589,11.1651525197334,16.8851106794715,22.3456328487591,21.895757577559,23.679751249353,19.9918852737062,22.0847336261126,22.7548306252946,24.3351070248233,22.3402942650264,21.1714116598671,21.0546630425119,19.2854215597675,20.988359776748,22.4393907161065,24.2807037241772
"P03928",14.7964626310366,14.8766130138125,14.6043190017561,14.2962616300343,16.417012175525,16.3911731187296,16.542604305668,11.3560904334794,15.2937590096679,12.3295091189142,10.9640928244971,15.1806253673133,15.0818968717086,15.7955132466301,15.3118547254473,16.2553285301477,14.5531600386012,15.9016117877243,13.0869278600318,14.2129204856206,15.1249007072349,15.5795032880205,14.5623377430038,13.0587059702184,12.4220698201518,14.4495647279191,13.2351286097053,14.0502692562664,14.8228156957865,13.4274438017932,12.3592154887415,14.4991971710284,21.2750102466589,19.8357570357115,16.7662017487593,23.5284979779788,18.4175757102601,22.8549961755977,20.6065140647607,19.8359787671711,22.0751671069251,18.4912037806859,20.7259426292726,20.5467239153609,17.7067031812211,20.6798119779394,20.6431695110679
"P25311",14.003718319858,14.034608317368,14.389283254258,13.5986960708188,13.435839826727,13.6104425139051,13.7169957244569,11.5404587363551,14.0098753843848,11.2819181191252,11.4135977618869,13.9127059648193,13.0769099532867,14.0279566027948,14.1172372457472,14.0654987881721,12.3569654502472,14.0802014056621,9.98217350998944,13.3295087761469,13.699978309335,13.6705008208653,13.0328286012588,10.8882245045597,11.2419291391206,12.9993685231694,12.3213471276527,12.1715516781593,12.7407461934587,11.1568368132986,11.9027417791404,13.5080819799354,20.2336634472865,20.8034685217921,20.657318985744,22.0274568372944,21.4582906634146,21.2742619473465,21.7038283486443,21.7704217300689,21.2941207483397,20.6806070671639,19.9471079488614,19.8279977585562,20.6583875068951,21.1432724011426,20.8494770970416
"P25713",9.71570617789421,9.85019515149327,13.3650309002721,12.5337813716604,13.8542578533447,9.60907526291571,13.3542853805028,10.6248356148591,12.7737027277256,10.7084934056068,11.3648427695604,14.2255398352247,13.4302781246104,9.55264278131386,13.775352048069,14.3952343595038,11.3500243358387,13.2884011027206,9.13425099240448,13.1981972507027,14.047809403988,12.9893508082199,12.9041151914337,11.4072760417779,11.8469414530955,11.7396294056711,8.98758719252067,12.3936860714315,12.8075494390792,11.605429412769,10.926409409284,13.4099056606938,19.6949389195247,17.1734251197936,19.4722972176119,21.0661260355313,18.5002817004466,19.5026608431725,18.8761576362978,19.4164518000557,20.0550801909101,17.4421636266709,18.3046224934704,17.70689286213,16.7833725716929,17.8512023263946,20.076938630913
"P36957",12.3004282270136,11.7559326793908,13.6498942945973,13.1034081268497,13.1912041320302,13.3318110198906,13.7349946014172,9.14949883851348,12.9132867957627,9.72090114209978,11.6969669305039,13.5177049386357,12.5549310635543,13.4270576984913,13.6035545389615,13.1611041765851,12.3242375029671,13.0555132356808,8.83532432214693,12.3317729921133,13.4810138127202,12.8459349608025,12.2174229636369,9.79353517215541,10.4897837101059,11.8348203066697,11.7454313342103,11.0181252498918,12.6524204563743,11.0379118169842,10.8546344276781,12.2735914911305,19.8691789887026,20.0150334934807,20.3465419307147,20.6798149809018,20.3139704424687,20.4964420683957,20.4002678073887,20.5525508799468,20.3711007274992,19.66483619852,19.1299038148185,18.6325631575746,19.5141575592185,20.222137901494,20.0264484953557
"P41732",12.3045061916853,11.8920270946294,14.5196289921041,12.2606921358536,12.4451538944116,9.64594690063204,12.2263968606604,8.60487929953903,13.7050871067216,10.6495576816738,13.7695118211882,13.5993706884857,12.0058535994642,13.3744067382069,12.8799870115696,14.477097571092,10.6289950148774,11.9242202471403,9.28740165862498,12.9050757831826,13.7466304318268,12.1023985071552,12.6507090314649,9.46433614573184,9.51647283098705,10.8060092308978,11.5879874364424,11.9418313455288,12.9157055460553,9.45211480060117,10.3255861577196,12.0094435669282,18.2918454569053,18.1452853825328,18.2456166708724,19.7692712747323,17.4257331146394,19.3123228720751,16.214265068873,18.2523659853857,17.0357119621608,16.0571667756057,16.2525730437953,12.9819498185916,15.0699100188514,15.6395859788519,16.8986604278669
"P46736",14.107130860773,11.7647515959552,15.1416282073648,12.8287366529615,14.188380533608,13.2973716019105,13.1530725972533,11.2256571829893,13.7656583125893,9.49180136402175,11.7500905444569,13.4229330446014,12.5426896074832,13.9821104968421,11.0159304282424,11.9347965921784,8.23584501704816,12.4841609841796,7.82875733037686,12.444045784084,12.9353017926885,12.2353728534661,11.6093073678057,6.50527162022125,7.76168071326698,10.5419949855202,9.46830522751051,10.9369403307458,11.4397119846201,6.85212832274792,11.0295111116664,11.1768337656288,21.4773263623637,21.0357527975916,22.0945872271213,22.5581448826952,20.5357192987272,21.2707157691923,21.3307530662054,22.3640219661447,21.7720986946221,20.8247180583952,20.9011041818289,20.2817340113276,21.0034690945711,21.2865974086466,21.0067386300511
"P56945",13.3188698655059,13.4150583207788,13.5519450238229,13.6006598391389,13.1238718762997,14.2541526457934,14.410703977778,9.11165714337364,13.4660579377842,7.6329792972094,7.71183194452873,13.3435536468132,12.0710155993388,13.5211849385571,13.3312708756528,13.0658734971327,12.1022508457607,12.4531207393619,6.81722256569377,12.7056743761178,13.988009226918,9.43184295642453,11.996174657965,5.63180131409362,7.60711141811584,9.61535446642873,9.84175466854527,9.15649723331762,12.0974084453345,9.22029656018691,9.87672422541649,10.3150608225432,22.4798161655186,22.4982035941368,23.2114290812887,23.9453145453962,22.8555332346017,24.1942902486193,24.2513240072353,23.9396817628973,23.2592040033405,22.9962612302058,21.9261742366194,21.1639027601256,22.2645944011759,22.9199901467473,23.1963161699246
"P61313",13.5820380338596,12.5317675123595,14.5194628348792,12.7455703410545,13.7671008385999,14.0448453671352,14.4657800223061,9.27435386357008,13.119668867383,10.0937816179283,12.7989336000741,13.3356553504022,11.2749739798079,12.2762070525675,12.9297479013977,11.800926538602,7.16675237777539,11.3402986658854,6.16392840577067,12.4582915298346,12.6316381211316,11.1905149090468,7.29132827920627,4.30077085340268,4.49476612233234,8.6344912105321,7.08790773444811,8.87262078286949,8.73800099915251,3.32038606420144,8.08622060493184,10.7395642008395,20.6062969905754,21.0601739602905,21.1035814217693,22.0374252628553,20.1685268079891,20.3971730418319,20.85854977052,22.5228977970968,21.7044058129728,19.9420370818778,20.9349881757686,19.2784746718329,20.316558360599,21.0112865336123,21.367287285032
"Q13347",12.2026739154209,11.7344964718392,14.6635456868052,13.4576743703499,14.8080428922709,13.7548183499598,14.6285007169571,6.58713813875034,13.8737397214314,9.72136143401058,12.1961444714141,9.89137715540083,7.788960697593,9.25908520922258,12.0027413222592,8.95944871004062,8.91591872873562,13.1836760453882,6.60273687395555,9.02561710312333,9.5812446238881,12.3191601643964,7.01640410810914,4.34473984526669,6.44292440933768,8.57776884929254,7.0942742204764,8.32524571698526,7.43057141050452,7.23857167449785,7.0060511183626,12.0779333808475,20.9688994580483,21.370886574423,21.0380181682579,22.4898806787386,21.6489524775975,21.3943664682496,21.9190832173908,21.9573183528382,21.4824644733006,20.6479640992025,20.7299344141676,20.0663375093564,19.189997518036,21.0801742873428,20.9946052179454
"Q14520",12.2039701151016,11.1128821684886,12.4515278621183,11.9646064194614,12.5951013471832,12.4002660714678,12.3537839220971,8.865688666692,11.6524341479008,8.25220980403524,9.38215803983465,12.0576985923199,9.09041255443378,10.7086503681096,12.4585751356367,11.5655531903123,9.45900017381681,10.0250755335951,2.67339557229946,10.374516734146,11.8978996654158,11.8312898452871,9.77587243120377,4.90320727625589,2.46668779378923,7.04491964480101,5.95815096925892,5.63625421675201,7.86978257576614,5.9791005046483,6.88885221702032,8.41648630139596,19.8565184955736,22.1655360296021,21.5111909720953,24.4788319646768,22.7773323801764,21.4387211056603,22.4108881609023,23.0710018543561,22.3657538524682,19.1883847649207,19.9697245759199,19.4987347039153,22.9868790627999,22.2642113882429,23.0953042040307
"Q14966",12.3442983830716,12.5906559928986,14.344732916999,13.9693996738511,14.2729435872111,13.7803254182751,13.9751551680575,11.6937104365863,12.6291203385826,6.25777417459581,11.3094551723351,13.5138609920568,12.1425661989499,13.4809107807552,13.0451856356436,13.0431007292626,9.10349166634711,12.1672642294819,8.30364457779683,12.4568439111746,12.8774607806598,12.6914899835328,11.9879248965747,6.99689236850181,10.2253259037324,9.79214546045699,6.68978588019952,11.0774833568595,9.76007414848553,9.06063493342766,10.457154863827,11.3088977167483,22.2349988646868,22.1702462515978,22.0007054307663,23.3385972174867,22.0766607911842,23.4249204534014,22.614085715842,23.3561850725937,23.2059491329156,21.9772860152805,21.6722056104678,21.5848064348164,21.9455349603698,22.4649159010004,22.0834682572453
