"","HB2","HB5","HB8","HB9","HB11","HB12","HB15","HB16","HB18","HB19","HB21","HB24","HB25","HB27","HB28","HB30","HB31","HB32","HB35","HB38","HB39","HB40","HB41","HB44","HB45","HB46","HB49","HB50","HB51","HB52","HB54","HB56","HB58","HB59","HB60","HB61","HB62","HB63","HB66","HB67","HB68","HB70","HB71","HB72","HB74","HB75","HB76","HB77","HB78","HB79","HB80","SB2","SB3","SB5","SB7","SB9","SB11","SB13","SB17","SB21","SB22","SB25","SB29","SB31","SB33","SB35","SB37","SB38","SB40","SB43","SB46","SB48","SB50","SB53"
"hsa_let_7b_5p",16.6509047450834,17.3165073382656,16.4635611751607,16.0716052106737,16.794747816822,17.2027504101223,16.5255033471869,16.5832170412434,16.3707071578324,16.3016905072653,16.1667520264302,16.8269083359757,16.0798429868138,16.521376262768,16.4647194201722,16.6168843090732,16.29739079146,16.8678091037997,16.3042553088328,16.0583699299419,16.2978518802919,16.4000066414262,16.2649355846997,16.4831762539201,16.3812397598983,16.6828432966522,16.7547483872178,16.5711983616263,16.3458468556805,16.4393381825877,16.4259422158878,16.48722005479,16.2776656585319,16.2867401612967,16.5868336042019,16.5467822885306,16.3760528428438,16.6719198298969,15.9501073800621,16.0306324683713,16.6741203410356,16.5876862705279,16.7189721723664,16.0795247296135,16.237299520419,16.7871793601225,16.5534373044927,16.0607047033944,16.3349057357063,16.4091983798815,16.2284989289384,16.2038339196951,16.6181462777891,16.4291867106013,16.6178399987593,15.6530844129828,16.2221559146763,16.3249505885316,16.5073556360117,16.2720549648595,16.6824563183754,16.0692315034511,16.1025963982071,16.7403664201404,16.7698901248789,16.8762739154759,16.3783090477467,16.6936082124167,16.7448131745345,16.8664705128345,16.2849439278326,16.75654625987,16.1038884424065,16.7443563729367
"hsa_miR_1_3p",5.18871489336559,13.05232265029,14.4056995037629,7.29350060828104,5.18871489336559,5.21681193906732,10.3854962540966,5.21681193906732,9.103923542,8.57469840369686,10.1349106715135,8.18886515014256,9.12641288993186,7.48612060104986,5.21681193906732,8.63189534387231,5.21681193906732,9.21015449679613,7.74941663360248,10.0743288674155,9.20447686376058,10.5503576027904,8.93680106390668,10.8523996829159,8.75264003808067,9.93457439793074,9.97000481063336,5.18871489336559,10.9001627540366,5.18871489336559,7.05896621010214,8.78612302444422,5.18871489336559,9.48158655324852,10.4845828970255,5.21681193906732,8.70403844515915,7.88307634443199,8.23080170350446,8.40371921166976,6.45642014081938,10.7145647440235,7.42243843697462,5.18871489336559,5.18871489336559,7.02066491822227,5.18871489336559,5.21681193906732,5.18871489336559,5.21681193906732,5.18871489336559,9.14999386384456,5.03705219300509,5.11192861036878,5.03705219300509,5.11192861036878,8.08192154622705,7.99399316225583,8.04143957816958,8.01126713767186,8.89557817198149,9.35458937531168,8.12473331717472,5.03705219300509,7.62693675804111,8.65332227668751,15.2283821797713,5.03705219300509,12.5717681430713,5.11192861036878,9.66019917053939,9.62426545247604,8.12524288675714,8.19044626623835
"hsa_miR_1246",5.31521473627189,5.31521473627189,9.74343924156945,7.65170746926477,10.8545607965754,5.31465931701785,9.64916812243211,5.31465931701785,8.87095494813272,8.01655779935667,9.81775982151608,8.22546058811415,10.2851751659635,7.43682481077844,9.25114530288756,9.12582497774903,8.29424022844268,5.31521473627189,5.31465931701785,5.31521473627189,9.18282734607272,9.73900224909125,5.31465931701785,9.75379159025707,9.53621838612557,9.91885680566096,10.042587827813,5.31521473627189,5.31465931701785,8.20362083353287,5.31521473627189,8.54387884766661,11.2719630334461,5.31465931701785,9.15451889458088,9.04182130745387,5.31521473627189,8.8005905986658,5.31521473627189,11.0255071869018,6.54493112445189,10.2523058686507,5.31465931701785,7.10633257750182,8.23763839432353,7.67459667178397,9.76889159136576,10.1939627103543,5.31521473627189,5.31465931701785,5.31521473627189,10.3168303536568,4.79693901413884,8.96082821408396,8.42416560201603,4.80107282406612,4.79693901413883,7.63203510303624,4.80107282406612,7.99703586899909,7.45374955718619,9.34961265831936,9.08590845769519,9.60875034757208,7.30570732356794,10.8395966599764,10.3279545776486,4.79693901413883,10.3494131282213,4.80107282406611,8.16002169082799,9.65854784709209,6.95371883615683,8.81637804922323
"hsa_miR_125b_5p",7.86737462977251,7.60256170393342,8.07278088989,7.32331415626814,8.57666460307568,4.43315081221744,8.16495215914382,7.96424971133358,9.21444697759652,7.80081120044423,7.99563787274255,6.49844536214375,8.20685287911494,7.70918876817083,8.78518304295652,7.17213221577472,8.40755031964521,8.05699422692845,6.79959781378773,9.21027233697763,8.79298381051908,9.47939543214502,8.73370061946265,9.93441056874124,9.6099636590836,9.19652318506482,4.45631437177684,4.45631437177684,8.57210581567905,8.00307902800141,7.13062982381334,7.28373507017947,8.93641530542774,8.23790972857899,8.38972297938128,8.32061260772272,7.70882011406423,6.75074988761648,7.45021665376621,8.41781801965114,6.01181571842132,8.88035966956195,6.28200496274089,7.80015523548661,8.12936899518366,6.49735436952908,8.44718017115672,7.40879831852211,8.07605407437775,4.43315081221744,7.31927184402773,7.47269227907794,7.60561091396468,7.47269227907794,7.60561091396468,7.47269227907794,7.60561091396468,7.47269227907794,7.47269227907794,7.47269227907794,7.60561091396468,7.47269227907794,7.47269227907794,7.60561091396468,7.47269227907794,7.60561091396468,12.0993495784602,7.60561091396468,7.47269227907794,7.47269227907794,7.47269227907794,7.60561091396468,7.47269227907794,7.47269227907794
"hsa_miR_128_3p",7.53979920678364,8.47566398376487,4.72241537182133,7.85659320072503,4.72241537182133,8.35032813752997,8.69271110492112,7.45107710918906,8.09536511661923,7.9907373147117,8.15144626012371,9.12219745070301,4.67288623101419,8.27671011286849,4.67288623101419,8.27319642310264,8.09207837017003,4.72241537182133,7.60956741731612,4.72241537182134,4.67288623101419,8.96965173621311,8.20111756957322,4.67288623101419,8.14081717827089,4.72241537182134,4.72241537182133,4.72241537182133,4.67288623101419,4.72241537182133,7.49093878444097,8.98500903590968,8.21634804269337,4.67288623101419,7.9461384536089,8.32588010203255,8.22214080266214,7.08553326241956,7.15309571878815,8.29157998845078,7.59522099059191,8.90436138636624,6.63289161579098,8.92678985171658,8.83779551225873,8.0007687527762,9.21505705565392,8.45360608225089,9.32054022390995,4.67288623101419,8.32473168134228,6.37885745902483,6.59779573787324,6.37885745902483,6.59779573787324,6.37885745902483,6.59779573787324,6.37885745902483,9.53229221688689,6.37885745902483,10.20929229981,6.37885745902483,6.37885745902483,6.59779573787324,9.09145589093584,6.59779573787324,6.37885745902483,6.59779573787324,6.37885745902483,6.37885745902483,10.2019549203558,6.59779573787324,9.79552903588003,6.37885745902483
"hsa_miR_140_3p",8.5849419100188,8.39230796106284,8.33779361457034,8.06865501026515,6.89079981873543,8.7808229666358,8.84164009713511,8.61287039033238,9.3441174034922,8.71783053073796,8.53909161489725,9.2506100494318,9.02916316988889,9.23880553921741,9.18990371105733,9.21870258666065,9.77064140739262,8.39842252397985,8.39520559170237,8.72091193152198,8.60353178822912,9.1345557802327,8.31763138930935,8.43207292269427,8.59861786682846,8.81249583281945,8.1013481307283,9.30057650315967,8.83313113189887,7.84809374618953,8.53813897896939,9.5017575041203,8.94857313385759,9.31861988892687,9.79094901479664,8.53396864479215,9.0287899966293,8.74117003587579,8.82162893280587,9.18953158727888,9.1210325992978,8.68054694529633,7.963096921252,9.14115035015156,8.8195509097664,8.25874119519027,9.68448993401442,8.6921842966203,8.62040696460268,9.71086702040779,9.26110302274228,8.5017256844351,8.43945521457221,8.5017256844351,8.43945521457221,8.5017256844351,8.43945521457221,8.5017256844351,10.5700675739208,8.5017256844351,8.43945521457221,8.5017256844351,8.5017256844351,8.43945521457221,10.8701553007568,8.43945521457221,8.5017256844351,8.43945521457221,8.5017256844351,8.5017256844351,9.97775363635215,8.43945521457221,8.5017256844351,8.5017256844351
"hsa_miR_142_3p",12.591959816551,12.3963790690151,12.8158938365254,13.2537310521816,12.4215721682977,13.5145572512651,12.9685288572103,12.6100343108357,13.1949975345194,12.7109227664647,12.8346446826995,13.0414335417973,13.3040297697382,13.8943662448582,14.1276148884115,14.5463026364424,13.1454161085722,13.5425151342145,12.7446802440863,13.439022807319,12.9257987554197,13.1218592571151,12.2742376484777,14.5618999803741,13.7702551283546,13.3772684319959,12.7032830339077,14.2630724642116,12.8587527980373,14.1097621624661,12.1935630864156,13.2785769630979,13.6834747069246,13.6662249140174,13.1265889347995,13.5324310789631,13.528610275158,13.5633271696676,13.3943520689175,13.6323834325293,11.7344895265952,13.3824180740534,12.9556767314131,13.809243755924,12.1392014131761,12.5232925858277,13.075673939318,12.4633563043951,12.283029548067,13.1480412834634,13.8389506079963,13.1296301536564,9.55310259735404,13.2058659063902,13.2373987426491,12.9059676498648,12.8003842695476,13.3566840537495,12.9226277498539,13.1246887582865,12.6521269348269,13.8515498314614,13.497698166578,12.8745183742343,13.4446549211618,13.4027060827525,13.1908461311415,13.5766406558129,13.7643860955353,13.1741697328697,13.2813565501068,12.8847078863341,13.9805675320056,14.0550853574177
"hsa_miR_143_3p",10.2982769116107,11.7030481362157,11.0859712181996,10.4416815804348,10.7220732682817,12.8070560087719,10.922209098838,10.4596544162264,10.7445917046946,10.3816826701142,11.0723377687619,12.6583871086301,11.2290076588557,12.0184097104783,10.7843413797912,13.7145649388848,12.8116536945812,10.7251128214344,10.55838734672,11.8414361353083,11.5089633055924,11.4261324033947,10.8141050670536,12.8091095968361,12.3762761059525,11.4580633957963,11.0031971854449,12.4848343271248,11.1168436179867,12.3553638065468,9.24899441198732,11.9371073937226,12.6206392931452,12.3645425942486,11.388301873777,11.2771479635422,11.3781003908669,11.3497790174167,11.248799778637,11.5233460986521,10.7606304562008,12.2639483828941,11.983349941725,12.5584202744807,11.5380259593347,10.8294902084337,11.3196552809502,10.4712391938255,11.5206147431293,11.1948558786119,12.8432558603951,10.4324118444214,10.6521741531323,11.0969489232551,11.5585112380995,11.1810285674203,11.9162693096012,12.2936579023382,13.3854502874628,9.86444038717358,10.2978753961057,11.6765494878337,11.1728989746472,11.4834333466863,13.0967417763795,11.0767988748247,10.7843039041141,12.0305950412407,11.6304235790288,11.6155285944102,12.1622199377723,11.2407826198943,11.538070530401,12.3139156574908
"hsa_miR_146a_5p",9.03923265827983,11.4222493968604,9.86006324004898,8.65603422487074,10.4236856172658,9.54920931119418,9.81903705282859,8.80940090863977,10.5148293442574,9.79217336431453,9.55953105724583,8.48189039129295,9.02572582688245,10.1795407124889,11.6052224320743,9.42351729804663,9.19195194291298,9.24332627220381,8.95541720281495,8.30424373096832,8.96259951642852,10.137703453658,8.92966439152775,10.8545889576277,10.3240137409965,9.83449518545585,8.91148077375904,9.31679527225342,9.34368785397639,9.0728554291576,7.58752835996783,8.57846594849367,9.18427859859323,9.19090166792273,9.21097754166825,10.008056733223,9.3255122097607,9.78914673947465,9.2753513413199,10.6788002075251,8.74746274209315,10.5437668644814,8.53240704410578,9.5896131278848,12.2557632105912,8.04852130465215,12.4579773538778,10.6788477811285,12.7508186058861,11.1053497695911,9.49754821084539,8.97847892379404,8.97514220377754,8.97847892379404,8.97514220377754,8.97847892379404,8.97514220377754,11.7225132490732,10.6791883334379,8.97847892379403,8.97514220377754,8.97847892379404,12.1483579947005,8.97514220377754,10.9331209240245,8.97514220377754,8.97847892379404,8.97514220377754,8.97847892379403,8.97847892379403,12.3085002188448,8.97514220377754,11.4404613855365,8.97847892379403
"hsa_miR_16_5p",17.1666665112823,16.108948835682,16.8876335743162,17.1666728075847,16.083335127263,16.516637429559,16.9840291568354,17.3236724620492,16.9776840592217,17.3740478284944,16.9149045203536,16.9881491027556,16.64700767344,16.9678247198903,16.7103220202245,16.5970900408436,16.5812156884471,16.7530225697978,17.4421523272144,16.4877532941531,16.4484281853502,16.6442812581101,16.6985967480523,16.1307909998427,16.8586041197371,16.8621225337266,17.0608263581457,16.7189755082869,17.0443075045461,16.568581928011,17.3705347890578,17.2785226217984,16.5520645596356,17.0778863147525,17.0072091658499,17.0734152660347,17.2397711341789,16.8948896113422,17.3595058709123,16.954012978446,16.1004261358582,16.7247107371956,17.3066270084373,17.2921069450568,15.7060868702992,17.1349584100634,16.3573606203376,16.9182091213273,16.5917613377184,16.9523349942811,17.0203854139908,16.4271955720782,16.9534556026764,16.8558126885396,17.1004818922829,16.9480571947295,16.5921584099042,16.2158814452817,17.2674830716348,16.0840987745696,17.2022730453085,16.0465727466984,16.2377861449227,17.1422875723847,17.1885700983259,16.9257019274027,16.7507661335399,17.0675493625149,17.500811908504,17.2278177263301,16.9329705927848,16.529266370231,16.9071547657135,16.508759509813
"hsa_miR_192_5p",8.57104847942712,8.15528512611182,8.20263465462676,8.75944601857939,9.4708384169873,7.65384732830423,8.81982090853004,7.95801641005534,9.60809233483925,8.67875048333999,9.15373072075024,8.30799043350561,8.53973544648591,8.45197078367811,8.77784683958121,8.03110239351052,9.9456506738222,7.75195618326479,8.15692940189296,10.9874745022064,10.9131468498652,9.69446563622196,10.4144418414002,9.17041958274402,8.69782438184638,8.62111733513401,8.1510380540649,10.5211420172407,9.51702343122194,9.47372245834604,8.4126189533444,8.90213838306641,10.121605599887,9.14328967438927,7.90368791933605,7.9877054439771,8.54400484747605,7.761759090472,8.66732367955803,8.79808656045934,7.75253688504296,8.05148681937044,7.2970260307551,8.23489234510865,8.19979766865342,8.1014865643401,8.51369819116008,8.3336516803668,8.49078904795843,7.99876485779713,8.39363933728125,8.43393098667328,8.4547031010205,8.43393098667328,8.45470310102049,8.43393098667328,8.45470310102049,8.43393098667328,9.98057774255469,12.0418204023531,8.4547031010205,8.43393098667328,8.43393098667328,8.45470310102049,8.43393098667328,8.4547031010205,8.43393098667328,8.45470310102049,8.43393098667328,8.43393098667328,8.43393098667328,8.4547031010205,8.43393098667328,8.43393098667328
